time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2015-09-25T00:00:00Z,239.99,239.99,234.81,235.2,235.56,236.31,234.81,190090,NaN
2015-09-26T00:00:00Z,235.2,235.36,232.91,234.51,234.16,235.41,233.41,208801,NaN
2015-09-27T00:00:00Z,234.51,234.76,233.03,233.29,234.16,235.41,232.91,126917,NaN
2015-09-28T00:00:00Z,233.29,243.19,232.9,240.07,234.15,237.4,232.9,268495,NaN
2015-09-29T00:00:00Z,240.07,241.5,235.81,237,234.15,237.9,232.9,299026,NaN
2015-09-30T00:00:00Z,237,238.2,235.56,236.55,237.15,240.4,234.9,239963,NaN
2015-10-01T00:00:00Z,236.55,239.53,234.63,238.1,237.15,240.4,235.4,128351,NaN
2015-10-02T00:00:00Z,238.1,238.99,237.09,238,237.15,239.9,235.4,111137,NaN
2015-10-03T00:00:00Z,238,241,237.53,239.67,237.15,239.9,235.4,93864,NaN
2015-10-04T00:00:00Z,239.67,239.93,238.3,238.58,237.15,239.9,235.9,112120,NaN
2015-10-05T00:00:00Z,238.58,240.85,237.77,240.85,239.15,239.9,235.9,221918,NaN
2015-10-06T00:00:00Z,240.85,249,240.68,247.09,239.15,240.9,234.4,482599,NaN
2015-10-07T00:00:00Z,247.09,247.8,243.43,243.43,239.15,240.9,232.9,351565,NaN
2015-10-08T00:00:00Z,243.43,245.73,243,243.19,239.15,243.4,232.9,328927,NaN
2015-10-09T00:00:00Z,243.19,244.91,242.99,244.4,244.15,247.9,237.9,377190,NaN
2015-10-10T00:00:00Z,244.4,246.08,243.77,246,244.15,247.9,238.4,262505,NaN
2015-10-11T00:00:00Z,246,248.56,245.18,248.13,245.65,248.9,238.9,563834,NaN
2015-10-12T00:00:00Z,248.13,248.41,245.7,246.38,245.65,248.9,239.4,600976,NaN
2015-10-13T00:00:00Z,246.38,251.49,244.47,250.76,245.65,251.4,239.9,1239755,NaN
2015-10-14T00:00:00Z,250.76,255.55,249.99,253.32,245.65,253.9,242.9,1125193,366661.3
2015-10-15T00:00:00Z,253.32,257.18,253.04,254.86,255.15,257.4,245.4,3379645,526139.05
2015-10-16T00:00:00Z,254.86,267.55,254.86,263.89,255.15,267.9,246.9,4506481,741023.05
2015-10-17T00:00:00Z,263.89,278.51,263,273.91,255.15,275.4,252.9,9814327,1225393.55
2015-10-18T00:00:00Z,273.91,275.05,262,265.63,255.15,273.4,252.9,3067513,1365344.45
2015-10-19T00:00:00Z,265.63,270.69,261.55,265.35,264.65,278.4,255.4,2167305,1458758.4
2015-10-20T00:00:00Z,265.35,274.49,264.68,271.85,265.65,278.4,255.9,2522940,1572907.25
2015-10-21T00:00:00Z,271.85,273.45,263.88,268.37,265.65,278.4,256.4,2514969,1692238.15
2015-10-22T00:00:00Z,268.37,280,267.65,276.9,265.65,279.4,257.9,2089953,1791178.95
2015-10-23T00:00:00Z,276.9,282.38,275.47,279.8,265.65,280.4,259.9,1724238,1872697.65
2015-10-24T00:00:00Z,279.8,286.9,278.35,285.39,265.65,283.9,261.4,2534238,1993803.55
2015-10-25T00:00:00Z,285.39,299.51,282.9,285.79,265.65,291.4,259.9,5412092,2253312.25
2015-10-26T00:00:00Z,285.79,292.29,281.01,289.32,265.65,291.4,261.9,3425775,2400471.05
2015-10-27T00:00:00Z,289.32,305.32,286.89,296.51,265.65,294.4,261.9,4482064,2606996
2015-10-28T00:00:00Z,296.51,310.36,296.51,306.99,265.65,297.9,261.9,3973665,2789232.9
2015-10-29T00:00:00Z,306.99,322,303.14,316.6,265.65,303.9,260.9,5401048,3040425.8
2015-10-30T00:00:00Z,316.6,336.81,300,333,265.65,310.9,260.4,7333151,3393958.1
2015-10-31T00:00:00Z,333,338.7,307.53,317.73,265.65,317.9,261.9,5431040,3637318.4
2015-11-01T00:00:00Z,317.73,335,314,331.38,265.65,319.4,261.9,2405830,3727561.1
2015-11-02T00:00:00Z,331.38,380,326.95,371.98,265.65,322.9,261.9,3597159,3845431.3
2015-11-03T00:00:00Z,371.98,440,365.18,422,265.777125,328.68375,261.894,5945545,4086448.9
2015-11-04T00:00:00Z,422,558,382,424,265.816375,333.68100000000004,262.159,5633849,4199159.1
2015-11-05T00:00:00Z,424,472.73,375,402,265.816375,337.74475,260.5335,3658384,4156754.25
2015-11-06T00:00:00Z,402,408.32,359,377.61,265.816375,338.5575,255.657,3232345,3827655.15
2015-11-07T00:00:00Z,377.61,394.99,373.91,384.34,265.816375,338.5575,254.84425000000002,1893018,3768930.4
2015-11-08T00:00:00Z,384.34,394.82,365,372,265.816375,338.5575,253.21875,1785135,3749821.9
2015-11-09T00:00:00Z,372,395.21,361.32,383.25,265.816375,338.5575,249.96775,1887061,3718027.95
2015-11-10T00:00:00Z,383.25,385.96,326.88,339.45,265.816375,339.37025,246.71675000000002,2840031,3734281.05
2015-11-11T00:00:00Z,339.45,344,301.09,314.5,265.816375,345.87225,250.78050000000002,3797897,3819678.25
2015-11-12T00:00:00Z,314.5,349.84,313.7,338.25,265.816375,345.87225,254.0315,3515290,3909230.85
2015-11-13T00:00:00Z,338.25,344.75,325.21,338.81,265.816375,345.87225,254.84425000000002,1802198,3872628.85
2015-11-14T00:00:00Z,338.81,345.03,329.31,333.63,265.816375,345.87225,254.84425000000002,1463479,3675198.2
2015-11-15T00:00:00Z,333.63,335.08,314.5,320.43,265.816375,345.87225,255.657,1502417,3579030.3
2015-11-16T00:00:00Z,320.43,334.77,314.1,332.05,265.816375,345.87225,255.657,1413954,3425624.8
2015-11-17T00:00:00Z,332.05,342.69,331.15,336.4,265.816375,345.87225,255.657,1393177,3296600.4
2015-11-18T00:00:00Z,336.4,339.69,328.77,336.5,265.816375,345.87225,256.46975000000003,1096258,3081360.9
2015-11-19T00:00:00Z,336.5,336.84,324.85,326.65,265.816375,345.87225,256.46975000000003,1081571,2768781.9
2015-11-20T00:00:00Z,326.65,327.37,309.99,322.09,265.816375,345.87225,256.46975000000003,1734757,2583967.75
2015-11-21T00:00:00Z,322.09,330.62,319.67,328.24,265.816375,345.87225,257.2825,950704,2511211.45
2015-11-22T00:00:00Z,328.24,328.6,319.81,324.92,265.816375,345.87225,258.09525,806987,2371702.85
2015-11-23T00:00:00Z,324.92,331.94,320.96,323.81,265.816375,345.87225,259.72075,707999,2109825.55
2015-11-24T00:00:00Z,323.81,323.81,315.79,319.8,265.816375,344.24675,259.72075,851934,1870729.8
2015-11-25T00:00:00Z,319.8,334.49,315.84,329.42,265.816375,344.24675,260.5335,1099199,1742770.55
2015-11-26T00:00:00Z,329.42,372.42,329.25,354.2,265.816375,347.49775,259.72075,2846781,1723492.35
2015-11-27T00:00:00Z,354.2,367.4,350,361.7,265.816375,352.37425,259.72075,2284368,1743059.85
2015-11-28T00:00:00Z,361.7,362.29,350,359.72,265.816375,354.8125,259.72075,1594852,1733545.7
2015-11-29T00:00:00Z,359.72,382.74,355.1,379.5,265.816375,355.62525000000005,259.72075,1290076,1703696.45
2015-11-30T00:00:00Z,379.5,388.5,373.32,381.43,265.816375,358.87625,259.72075,2385921,1680990.95
2015-12-01T00:00:00Z,381.43,384.75,347.03,364.1,265.816375,360.50175,259.72075,1964518,1589322
2015-12-02T00:00:00Z,364.1,367.18,346.67,359.96,265.816375,360.50175,259.72075,1788363,1502975.65
2015-12-03T00:00:00Z,359.96,372.7,355,362.32,265.816375,361.3145,259.72075,1823737,1504052.6
2015-12-04T00:00:00Z,362.32,365.38,353.21,364.2,265.816375,361.3145,259.72075,1098703,1485813.8
2015-12-05T00:00:00Z,364.2,395,363.35,394,265.816375,362.12725,259.72075,1781611,1499773.5
2015-12-06T00:00:00Z,394,407.51,387,390.04,265.816375,363.75275,259.72075,1864187,1522285.15
2015-12-07T00:00:00Z,390.04,405.62,384,396.7,265.816375,364.56550000000004,259.72075,1558948,1530573.7
2015-12-08T00:00:00Z,396.7,425.15,390,423,265.816375,366.19100000000003,259.72075,1455514,1548536.5
