time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2015-09-25T12:00:00Z,239.99,239.99,235.44,235.6,235.69,236.94,235.44,127995,NaN
2015-09-25T18:00:00Z,235.6,236.15,234.81,235.2,235.56,236.31,234.81,62095,NaN
2015-09-26T00:00:00Z,235.2,235.36,233.3,233.61,235.55,236.8,234.8,19155,NaN
2015-09-26T06:00:00Z,233.61,234.17,232.91,233.85,235.66,238.91,234.91,42651,NaN
2015-09-26T12:00:00Z,233.85,235.33,233.5,233.79,235.66,236.41,233.91,97055,NaN
2015-09-26T18:00:00Z,233.79,234.73,233.69,234.51,234.16,235.41,233.41,49940,NaN
2015-09-27T00:00:00Z,234.51,234.76,233.98,234.5,234.16,235.41,233.41,9245,NaN
2015-09-27T06:00:00Z,234.5,234.5,233.12,233.49,234.16,235.41,232.91,75128,NaN
2015-09-27T12:00:00Z,233.49,233.68,233.03,233.13,234.16,235.41,232.91,30030,NaN
2015-09-27T18:00:00Z,233.13,233.65,233.1,233.29,234.16,235.41,232.91,12514,NaN
2015-09-28T00:00:00Z,233.29,238.23,232.9,237.8,234.15,235.4,232.9,91904,NaN
2015-09-28T06:00:00Z,237.8,240.49,237.03,239.16,234.15,235.9,232.9,87208,NaN
2015-09-28T12:00:00Z,239.16,239.7,237.87,238.61,234.15,236.4,232.9,49271,NaN
2015-09-28T18:00:00Z,238.61,243.19,238.25,240.07,234.15,237.4,232.9,40112,NaN
2015-09-29T00:00:00Z,240.07,241.5,238.34,240.7,234.15,238.4,232.9,74663,NaN
2015-09-29T06:00:00Z,240.7,240.87,236.5,236.5,234.15,238.4,232.9,98147,NaN
2015-09-29T12:00:00Z,236.5,238.41,235.81,238.41,234.15,237.9,232.9,49094,NaN
2015-09-29T18:00:00Z,238.41,238.41,236.97,237,234.15,237.9,232.9,77122,NaN
2015-09-30T00:00:00Z,237,238.2,236.88,237.59,234.15,237.9,232.9,21176,NaN
2015-09-30T06:00:00Z,237.59,238.12,235.56,236.27,234.15,237.9,232.9,59234,58686.95
2015-09-30T12:00:00Z,236.27,237.91,236.27,237.76,237.15,240.4,234.9,126089,58591.65
2015-09-30T18:00:00Z,237.76,238.07,236.55,236.55,237.15,240.4,234.9,33464,57160.1
2015-10-01T00:00:00Z,236.55,237.69,236.55,237.5,237.15,240.4,234.9,13101,56857.4
2015-10-01T06:00:00Z,237.5,237.5,236.85,237.08,237.15,240.4,234.9,12931,55371.4
2015-10-01T12:00:00Z,237.08,239.53,234.63,238.37,237.15,240.4,235.4,75319,54284.6
2015-10-01T18:00:00Z,238.37,238.69,238.1,238.1,237.15,240.4,235.4,27000,53137.6
2015-10-02T00:00:00Z,238.1,238.99,237.86,238.2,237.15,240.4,235.4,22983,53824.5
2015-10-02T06:00:00Z,238.2,238.8,237.69,237.69,237.15,240.4,235.4,26300,51383.1
2015-10-02T12:00:00Z,237.69,238.22,237.09,237.54,237.15,239.9,235.4,42267,51994.95
2015-10-02T18:00:00Z,237.54,238,237.53,238,237.15,239.9,235.4,19587,52348.6
2015-10-03T00:00:00Z,238,238.81,238,238.07,237.15,239.9,235.4,24474,48977.1
2015-10-03T06:00:00Z,238.07,238.4,237.53,238.3,237.15,239.9,235.4,20133,45623.35
2015-10-03T12:00:00Z,238.3,241,238.16,239.8,237.15,239.9,235.4,13364,43828
2015-10-03T18:00:00Z,239.8,240.2,239.46,239.67,237.15,239.9,235.4,35893,43617.05
2015-10-04T00:00:00Z,239.67,239.93,239.37,239.93,237.15,239.9,235.4,17997,40783.75
2015-10-04T06:00:00Z,239.93,239.93,239,239.32,237.15,239.9,235.4,7092,36231
2015-10-04T12:00:00Z,239.32,239.37,238.95,239.24,237.15,239.9,235.4,51021,36327.35
